fdate,number of customers without power,county,state,fips
2024-02-05 17:00:00,423,Colusa County,CA,06011
2024-02-05 18:00:00,423,Colusa County,CA,06011
2024-02-05 19:00:00,496,Colusa County,CA,06011
2024-02-05 20:00:00,502,Colusa County,CA,06011
2024-02-05 21:00:00,502,Colusa County,CA,06011
2024-02-05 22:00:00,421,Colusa County,CA,06011
2024-02-05 23:00:00,422,Colusa County,CA,06011
2024-02-06 00:00:00,422,Colusa County,CA,06011
2024-02-06 01:00:00,407,Colusa County,CA,06011
2024-02-06 02:00:00,407,Colusa County,CA,06011
2024-02-06 03:00:00,407,Colusa County,CA,06011
2024-02-06 04:00:00,407,Colusa County,CA,06011
2024-02-06 05:00:00,407,Colusa County,CA,06011
2024-02-06 06:00:00,407,Colusa County,CA,06011
2024-02-06 07:00:00,407,Colusa County,CA,06011
2024-02-06 08:00:00,407,Colusa County,CA,06011
2024-02-06 09:00:00,406,Colusa County,CA,06011
2024-02-03 00:00:00,21,Contra Costa County,CA,06013
2024-02-03 01:00:00,21,Contra Costa County,CA,06013
2024-02-03 02:00:00,21,Contra Costa County,CA,06013
2024-02-03 03:00:00,8,Contra Costa County,CA,06013
2024-02-03 04:00:00,8,Contra Costa County,CA,06013
2024-02-03 05:00:00,0,Contra Costa County,CA,06013
2024-02-03 06:00:00,0,Contra Costa County,CA,06013
2024-02-03 07:00:00,0,Contra Costa County,CA,06013
2024-02-03 08:00:00,0,Contra Costa County,CA,06013
2024-02-03 09:00:00,0,Contra Costa County,CA,06013
2024-02-03 10:00:00,0,Contra Costa County,CA,06013
2024-02-03 11:00:00,25,Contra Costa County,CA,06013
2024-02-03 12:00:00,25,Contra Costa County,CA,06013
2024-02-03 13:00:00,25,Contra Costa County,CA,06013
2024-02-03 14:00:00,25,Contra Costa County,CA,06013
2024-02-03 15:00:00,0,Contra Costa County,CA,06013
2024-02-03 16:00:00,42,Contra Costa County,CA,06013
2024-02-03 17:00:00,2,Contra Costa County,CA,06013
2024-02-03 18:00:00,1,Contra Costa County,CA,06013
2024-02-03 19:00:00,1,Contra Costa County,CA,06013
2024-02-03 20:00:00,0,Contra Costa County,CA,06013
